# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 4000, i.e. number of multipoles equal to 3999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   56       2.164101796805e-10       2.453809950800e-14      -7.705065628639e-14       1.454111657237e-16       4.284519701768e-11       4.725930581299e-12      -1.010485535870e-14 
   57       2.193960601725e-10       2.591660823885e-14      -1.131638815891e-13       1.506767205279e-16       4.119163489830e-11       4.561155585243e-12      -1.059758175264e-14 
   58       2.224097894553e-10       2.733874362968e-14      -1.512652398505e-13       1.560356047735e-16       3.962235775140e-11       4.404921161740e-12      -1.102321874281e-14 
   59       2.254525535401e-10       2.880461805807e-14      -1.913974955629e-13       1.614876321563e-16       3.812513719964e-11       4.256050242083e-12      -1.131338518661e-14 
   60       2.285260320424e-10       3.031376198973e-14      -2.335436409322e-13       1.670327253013e-16       3.669801501349e-11       4.114298482240e-12      -1.146832599030e-14 
   61       2.316313889710e-10       3.186545635345e-14      -2.776644928193e-13       1.726708414455e-16       3.534052534982e-11       3.979534016245e-12      -1.150969409869e-14 
   62       2.347688606439e-10       3.345885191461e-14      -3.237123127726e-13       1.784019456037e-16       3.405040653302e-11       3.851429272024e-12      -1.146333565828e-14 
   63       2.379376899382e-10       3.509296510767e-14      -3.716305204536e-13       1.842260112764e-16       3.282349677068e-11       3.729449783408e-12      -1.135947702106e-14 
   64       2.411360605396e-10       3.676667386871e-14      -4.213534070617e-13       1.901430211561e-16       3.165362986945e-11       3.612843002158e-12      -1.123291174837e-14 
   65       2.443620362501e-10       3.847885279067e-14      -4.728211878413e-13       1.961529801454e-16       3.053434001946e-11       3.500845677335e-12      -1.111533119417e-14 
   66       2.476167578103e-10       4.022882121883e-14      -5.260295085249e-13       2.022559560249e-16       2.946463002570e-11       3.393382170586e-12      -1.101000835939e-14 
   67       2.509018075745e-10       4.201598288486e-14      -5.809899421979e-13       2.084520486870e-16       2.844424188009e-11       3.290494469382e-12      -1.091207096090e-14 
   68       2.542182272597e-10       4.383969469263e-14      -6.377157151976e-13       2.147413796183e-16       2.747190280891e-11       3.192131690066e-12      -1.081585261173e-14 
   69       2.575664803093e-10       4.569926644791e-14      -6.962218496039e-13       2.211240929503e-16       2.654527159190e-11       3.098145003650e-12      -1.071486006491e-14 
   70       2.609464142554e-10       4.759396058802e-14      -7.565253057296e-13       2.276003565113e-16       2.566088488135e-11       3.008282561597e-12      -1.060174045718e-14 
   71       2.643572230828e-10       4.952299191153e-14      -8.186451246108e-13       2.341703628780e-16       2.481410352113e-11       2.922184421623e-12      -1.046824855287e-14 
   72       2.677980396907e-10       5.148547953591e-14      -8.825926339925e-13       2.408343071884e-16       2.400030770902e-11       2.839479680163e-12      -1.030772449500e-14 
   73       2.712699285754e-10       5.348029269536e-14      -9.483395731917e-13       2.475923133148e-16       2.321886736617e-11       2.760110730797e-12      -1.012315046180e-14 
   74       2.747742094080e-10       5.550617471756e-14      -1.015844078819e-12       2.544444953540e-16       2.246984041831e-11       2.684062367120e-12      -9.920588489650e-15 
   75       2.783118379709e-10       5.756178683517e-14      -1.085059996229e-12       2.613909801221e-16       2.175276673861e-11       2.611262396806e-12      -9.706831133744e-15 
   76       2.818833829068e-10       5.964570682482e-14      -1.155936795147e-12       2.684319076755e-16       2.106664297914e-11       2.541578900892e-12      -9.489426029437e-15 
   77       2.854890024676e-10       6.175642764611e-14      -1.228419485305e-12       2.755674318315e-16       2.040989740233e-11       2.474817493052e-12      -9.276700453541e-15 
