# Matter power spectrum P(k) at redshift z=0
# for k=1.04207e-05 to 7.14249 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       3.215724568654e-02       1.987483457964e+04 
       3.230627290721e-02       1.979616880287e+04 
       3.245578822215e-02       1.971750640239e+04 
       3.260580455636e-02       1.963881059765e+04 
       3.275633525262e-02       1.955997149272e+04 
       3.290739408851e-02       1.948114474651e+04 
       3.305899529437e-02       1.940227838652e+04 
       3.321115357202e-02       1.932339527927e+04 
       3.336388411466e-02       1.924442059943e+04 
       3.351720262761e-02       1.916550032659e+04 
       3.367112535036e-02       1.908649501891e+04 
       3.382566907961e-02       1.900748849677e+04 
       3.398085119373e-02       1.892847721075e+04 
       3.413668967845e-02       1.884939204099e+04 
       3.429320315403e-02       1.877037716141e+04 
       3.445041090397e-02       1.869137641272e+04 
       3.460833290528e-02       1.861224045711e+04 
       3.476698986058e-02       1.853324726346e+04 
       3.492640323201e-02       1.845420136470e+04 
       3.508659527713e-02       1.837518826478e+04 
       3.524758908699e-02       1.829613586110e+04 
       3.540940862645e-02       1.821710156757e+04 
       3.557207877702e-02       1.813809767573e+04 
       3.573562538222e-02       1.805907082482e+04 
       3.590007529592e-02       1.798008664441e+04 
       3.606545643360e-02       1.790110158801e+04 
       3.623179782697e-02       1.782216829479e+04 
       3.639912968207e-02       1.774328421696e+04 
       3.656748344122e-02       1.766430781804e+04 
       3.673689184906e-02       1.758541591230e+04 
       3.690738902304e-02       1.750661963735e+04 
       3.707901052868e-02       1.742768234010e+04 
       3.725179346006e-02       1.734883111798e+04 
       3.742577652594e-02       1.727000435156e+04 
       3.760100014198e-02       1.719121553799e+04 
       3.777750652956e-02       1.711243373651e+04 
       3.795533982186e-02       1.703364800272e+04 
       3.813454617772e-02       1.695493183342e+04 
       3.831517390411e-02       1.687615457325e+04 
       3.849727358783e-02       1.679740348085e+04 
       3.868089823749e-02       1.671866017035e+04 
       3.886610343647e-02       1.663990881018e+04 
       3.905294750820e-02       1.656117484652e+04 
       3.924149169468e-02       1.648243686915e+04 
       3.943180034970e-02       1.640374435415e+04 
       3.962394114811e-02       1.632498284617e+04 
