# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   53       2.065395520508e-10       2.040129353557e-14       1.783993615200e-14       0.000000000000e+00       4.836511531088e-11       5.299626071614e-12      -8.985901113318e-15 
   54       2.094379267207e-10       2.163847968574e-14      -1.274690124170e-14       0.000000000000e+00       4.641818109594e-11       5.103040490604e-12      -9.154771550733e-15 
   55       2.123634694728e-10       2.291826513517e-14      -4.522492219261e-14       0.000000000000e+00       4.456775049423e-11       4.915746154635e-12      -9.417001562107e-15 
   56       2.153179037359e-10       2.424070730269e-14      -7.960287516916e-14       0.000000000000e+00       4.281168050143e-11       4.737767313137e-12      -9.758537188546e-15 
   57       2.183025134535e-10       2.560586216907e-14      -1.158861032834e-13       0.000000000000e+00       4.114902682766e-11       4.569142131056e-12      -1.015115399816e-14 
   58       2.213173856320e-10       2.701373839772e-14      -1.540768700875e-13       0.000000000000e+00       3.957604902125e-11       4.409642057450e-12      -1.056179932383e-14 
   59       2.243613199822e-10       2.846429638152e-14      -1.941742975419e-13       0.000000000000e+00       3.808603765145e-11       4.258754941823e-12      -1.095237139217e-14 
   60       2.274317385615e-10       2.995744728970e-14      -2.361743039843e-13       0.000000000000e+00       3.666914149097e-11       4.115668150454e-12      -1.127949845250e-14 
   61       2.305259422098e-10       3.149297422075e-14      -2.800703734715e-13       0.000000000000e+00       3.531510972024e-11       3.979496673478e-12      -1.150445266527e-14 
   62       2.336454138287e-10       3.307027713621e-14      -3.258562059350e-13       0.000000000000e+00       3.402262877055e-11       3.850065473348e-12      -1.162599180713e-14 
   63       2.367923250736e-10       3.468856872265e-14      -3.735235545123e-13       0.000000000000e+00       3.279178410579e-11       3.727273581695e-12      -1.165453084781e-14 
   64       2.399682281124e-10       3.634694387675e-14      -4.230614117186e-13       0.000000000000e+00       3.162125139939e-11       3.610855674574e-12      -1.160275638385e-14 
   65       2.431740080005e-10       3.804437628064e-14      -4.744559737938e-13       0.000000000000e+00       3.050821620834e-11       3.500372962172e-12      -1.148572733577e-14 
   66       2.464098350552e-10       3.977971497730e-14      -5.276906050500e-13       0.000000000000e+00       2.944829364728e-11       3.395204078504e-12      -1.132097564532e-14 
   67       2.496751172311e-10       4.155168094587e-14      -5.827458022191e-13       0.000000000000e+00       2.843544806258e-11       3.294535971119e-12      -1.112860697263e-14 
   68       2.529691263746e-10       4.335900032315e-14      -6.396006051672e-13       0.000000000000e+00       2.746360850703e-11       3.197572236454e-12      -1.092752029881e-14 
   69       2.562931308009e-10       4.520084306948e-14      -6.982372406653e-13       0.000000000000e+00       2.653207482797e-11       3.104227510165e-12      -1.072295214050e-14 
   70       2.596486112628e-10       4.707646744432e-14      -7.586373598442e-13       0.000000000000e+00       2.564106772699e-11       3.014558058896e-12      -1.051657776582e-14 
   71       2.630365954584e-10       4.898509129354e-14      -8.207806763972e-13       0.000000000000e+00       2.479009358864e-11       2.928553298461e-12      -1.031017038890e-14 
   72       2.664576276402e-10       5.092589211957e-14      -8.846449679191e-13       0.000000000000e+00       2.397790752536e-11       2.846132244809e-12      -1.010560260638e-14 
   73       2.699117382252e-10       5.289800715150e-14      -9.502060772448e-13       0.000000000000e+00       2.320247642242e-11       2.767139965002e-12      -9.904847833815e-15 
   74       2.733984134040e-10       5.490053341529e-14      -1.017437913789e-12       0.000000000000e+00       2.246094198280e-11       2.691344028184e-12      -9.709981742215e-15 
   75       2.769165647508e-10       5.693252780384e-14      -1.086312454883e-12       0.000000000000e+00       2.174958377219e-11       2.618430956553e-12      -9.523183694489e-15 
