# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   82       2.937454889845e-10       6.882141871163e-14      -1.548605503437e-12       2.768048814582e-16       1.679113319496e-11       2.100146538471e-12      -8.339338185917e-15 
   83       2.973769280416e-10       7.090945281078e-14      -1.626541544880e-12       2.836159274551e-16       1.628980722154e-11       2.048435293485e-12      -8.278486114678e-15 
   84       3.010443085952e-10       7.300992816220e-14      -1.705653954532e-12       2.905113358605e-16       1.580860847218e-11       1.998622556840e-12      -8.236762190695e-15 
   85       3.047478032845e-10       7.512116334768e-14      -1.785899568028e-12       2.974913716966e-16       1.534676601240e-11       1.950645717324e-12      -8.209158718166e-15 
   86       3.084872826710e-10       7.724142426734e-14      -1.867234028136e-12       3.045563193690e-16       1.490321219232e-11       1.904413135662e-12      -8.190069793577e-15 
   87       3.122623005994e-10       7.936892395244e-14      -1.949611809412e-12       3.117064832235e-16       1.447657113429e-11       1.859802995711e-12      -8.173272478945e-15 
   88       3.160720795591e-10       8.150182237827e-14      -2.032986242856e-12       3.189421881022e-16       1.406514722046e-11       1.816662155653e-12      -8.151907975054e-15 
   89       3.199158354412e-10       8.363825219648e-14      -2.117308108200e-12       3.262637752577e-16       1.366732818889e-11       1.774843996293e-12      -8.119953945354e-15 
   90       3.237938421040e-10       8.577640096586e-14      -2.202521103965e-12       3.336715881468e-16       1.328289198278e-11       1.734331274279e-12      -8.076947213182e-15 
   91       3.277065076093e-10       8.791444153616e-14      -2.288565708923e-12       3.411659854231e-16       1.291188464652e-11       1.695130513638e-12      -8.023970661795e-15 
   92       3.316540402719e-10       9.005050747531e-14      -2.375380554349e-12       3.487473458610e-16       1.255421873968e-11       1.657234167563e-12      -7.962231497334e-15 
   93       3.356364391051e-10       9.218269327064e-14      -2.462902427221e-12       3.564160688433e-16       1.220966803594e-11       1.620620053833e-12      -7.893064761398e-15 
   94       3.396534842665e-10       9.430905453005e-14      -2.551066273411e-12       3.641725748475e-16       1.187786222210e-11       1.585250790238e-12      -7.817936843621e-15 
   95       3.437047275041e-10       9.642760818319e-14      -2.639805200885e-12       3.720173059330e-16       1.155828159703e-11       1.551073229992e-12      -7.738448994250e-15 
   96       3.477894826016e-10       9.853633268269e-14      -2.729050482895e-12       3.799507262278e-16       1.125025177061e-11       1.518017897163e-12      -7.656340836717e-15 
   97       3.519068158242e-10       1.006331682053e-13      -2.818731561176e-12       3.879733224158e-16       1.095293836273e-11       1.485998422085e-12      -7.573493880216e-15 
   98       3.560555363649e-10       1.027160168530e-13      -2.908776049141e-12       3.960856042232e-16       1.066534170221e-11       1.454910976785e-12      -7.491935032282e-15 
   99       3.602345009042e-10       1.047827908122e-13      -2.999111199288e-12       4.042881051783e-16       1.038652555292e-11       1.424658968006e-12      -7.413430075018e-15 
  100       3.644435971664e-10       1.068315641783e-13      -3.089668535669e-12       4.125813839594e-16       1.011635171664e-11       1.395232327478e-12      -7.338190800129e-15 
  101       3.686828825749e-10       1.088604431096e-13      -3.180379886562e-12       4.209660241428e-16       9.854840116682e-12       1.366638455860e-12      -7.265990424105e-15 
  102       3.729522768921e-10       1.108675205604e-13      -3.271175999470e-12       4.294426344322e-16       9.601941620230e-12       1.338877711912e-12      -7.196555848383e-15 
  103       3.772515564725e-10       1.128508770638e-13      -3.361986562068e-12       4.380118491479e-16       9.357535573974e-12       1.311943154063e-12      -7.129566201788e-15 
  104       3.815803485159e-10       1.148085815137e-13      -3.452740223145e-12       4.466743287179e-16       9.121427339786e-12       1.285820281991e-12      -7.064651382968e-15 
  105       3.859381253209e-10       1.167386919478e-13      -3.543364613548e-12       4.554307601675e-16       8.893345830363e-12       1.260486778193e-12      -7.001390602837e-15 
  106       3.903241985377e-10       1.186392563298e-13      -3.633786367125e-12       4.642818576101e-16       8.672941044887e-12       1.235912249559e-12      -6.939310927009e-15 
  107       3.947377134216e-10       1.205083133320e-13      -3.723931141668e-12       4.732283627367e-16       8.459781604679e-12       1.212057968945e-12      -6.877885818242e-15 
  108       3.991776430862e-10       1.223438931177e-13      -3.813723639858e-12       4.822710453068e-16       8.253352288851e-12       1.188876616751e-12      -6.816533678868e-15 
  109       4.036427827564e-10       1.241440181239e-13      -3.903087630206e-12       4.914107036380e-16       8.053051569963e-12       1.166312022486e-12      -6.754616393240e-15 
  110       4.081319549575e-10       1.259067526987e-13      -3.991946580491e-12       5.006481406909e-16       7.858327012764e-12       1.144312165334e-12      -6.691569191488e-15 
  111       4.126446672565e-10       1.276303575566e-13      -4.080225605266e-12       5.099840877908e-16       7.669106451917e-12       1.122870621258e-12      -6.627312257216e-15 
  112       4.171805283344e-10       1.293131566464e-13      -4.167849807941e-12       5.194192720158e-16       7.485417640529e-12       1.101989961273e-12      -6.561889313993e-15 
  113       4.217390409432e-10       1.309534913114e-13      -4.254743717230e-12       5.289544399776e-16       7.307254223099e-12       1.081668839975e-12      -6.495340847890e-15 
  114       4.263195982328e-10       1.325497215520e-13      -4.340831314110e-12       5.385903580718e-16       7.134574626093e-12       1.061901867423e-12      -6.427703940541e-15 
  115       4.309214800766e-10       1.341002272883e-13      -4.426036058785e-12       5.483278127284e-16       6.967300948518e-12       1.042679481020e-12      -6.359012102213e-15 
  116       4.355438493983e-10       1.356034096227e-13      -4.510280917651e-12       5.581676106619e-16       6.805317852493e-12       1.023987817400e-12      -6.289295104865e-15 
  117       4.401857484980e-10       1.370576921025e-13      -4.593488390256e-12       5.681105791217e-16       6.648471453829e-12       1.005808584309e-12      -6.218578815222e-15 
  118       4.448460953785e-10       1.384615219828e-13      -4.675580536266e-12       5.781575661428e-16       6.496568212600e-12       9.881189324876e-13      -6.146885027833e-15 
  119       4.495236800717e-10       1.398133714890e-13      -4.756479002424e-12       5.883094407956e-16       6.349373823718e-12       9.708913275544e-13      -6.074231298141e-15 
  120       4.542171609647e-10       1.411117390791e-13      -4.836105049516e-12       5.985670934366e-16       6.206612107507e-12       9.540934218890e-13      -6.000630775549e-15 
  121       4.589250611263e-10       1.423551507069e-13      -4.914379579336e-12       6.089314359589e-16       6.067963900279e-12       9.376879265149e-13      -5.926092036484e-15 
  122       4.636457646330e-10       1.435421610845e-13      -4.991223161643e-12       6.194034020421e-16       5.933065944909e-12       9.216324829825e-13      -5.850618917460e-15 
  123       4.683777103206e-10       1.446714031753e-13      -5.066557173291e-12       6.299839155330e-16       5.801589188678e-12       9.058895922419e-13      -5.774239621426e-15 
  124       4.731200060663e-10       1.457417404236e-13      -5.140307306353e-12       6.406737909401e-16       5.673486225072e-12       8.904579657196e-13      -5.697098178559e-15 
  125       4.778718784812e-10       1.467521344746e-13      -5.212400515703e-12       6.514738219265e-16       5.548770320131e-12       8.753445512372e-13      -5.619373226981e-15 
  126       4.826324797083e-10       1.477016001351e-13      -5.282763978304e-12       6.623848121552e-16       5.427438071626e-12       8.605547501309e-13      -5.541249743330e-15 
  127       4.874008853016e-10       1.485892070161e-13      -5.351325128917e-12       6.734075752887e-16       5.309468924394e-12       8.460923682613e-13      -5.462919106138e-15 
  128       4.921760921058e-10       1.494140811745e-13      -5.418011695812e-12       6.845429349890e-16       5.194824685676e-12       8.319595670231e-13      -5.384579159216e-15 
  129       4.969570161360e-10       1.501754067553e-13      -5.482751736488e-12       6.957917249166e-16       5.083449040456e-12       8.181568143548e-13      -5.306434275037e-15 
