# Matter power spectrum P(k) at redshift z=0
# for k=1.04207e-05 to 7.14249 h/Mpc,
# number of wavenumbers equal to 639
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.472362151260e-02       2.378853021585e+04 
       2.485827984814e-02       2.372429082603e+04 
       2.499307966821e-02       2.365953275981e+04 
       2.512802403062e-02       2.359416615958e+04 
       2.526311606863e-02       2.352835062632e+04 
       2.539835899303e-02       2.346194589534e+04 
       2.553375609422e-02       2.339509515254e+04 
       2.566931074444e-02       2.332772784767e+04 
       2.580502640002e-02       2.325984990029e+04 
       2.594090660369e-02       2.319151073807e+04 
       2.607695498706e-02       2.312270062218e+04 
       2.621317527309e-02       2.305344098270e+04 
       2.634957127870e-02       2.298378878635e+04 
       2.648614691742e-02       2.291367037821e+04 
       2.662290620223e-02       2.284316972094e+04 
       2.675985324837e-02       2.277224468093e+04 
       2.689699227637e-02       2.270093191998e+04 
       2.703432761512e-02       2.262926986195e+04 
       2.717186370505e-02       2.255721595074e+04 
       2.730960510149e-02       2.248482317680e+04 
       2.744755647805e-02       2.241210813627e+04 
       2.758572263023e-02       2.233902262031e+04 
       2.772410847911e-02       2.226563588346e+04 
       2.786271907513e-02       2.219191074932e+04 
       2.800155960216e-02       2.211792690188e+04 
       2.814063538155e-02       2.204363226007e+04 
       2.827995187645e-02       2.196904279705e+04 
       2.841951469629e-02       2.189420753006e+04 
       2.855932960135e-02       2.181909193954e+04 
       2.869940250761e-02       2.174372248274e+04 
       2.883973949172e-02       2.166811446434e+04 
       2.898034679622e-02       2.159227183343e+04 
       2.912123083494e-02       2.151620333638e+04 
       2.926239819861e-02       2.143994095595e+04 
       2.940385566071e-02       2.136342736252e+04 
       2.954561018357e-02       2.128674078581e+04 
       2.968766892472e-02       2.120982549967e+04 
       2.983003924349e-02       2.113280135762e+04 
       2.997272870790e-02       2.105556636201e+04 
       3.011574510183e-02       2.097816534911e+04 
       3.025909643252e-02       2.090061410263e+04 
       3.040279093836e-02       2.082290171661e+04 
       3.054683709707e-02       2.074500726497e+04 
       3.069124363419e-02       2.066705227497e+04 
       3.083601953196e-02       2.058891074356e+04 
       3.098117403861e-02       2.051069185180e+04 
       3.112671667805e-02       2.043233793653e+04 
       3.127265726003e-02       2.035389005719e+04 
       3.141900589076e-02       2.027531034070e+04 
       3.156577298395e-02       2.019667462429e+04 
       3.171296927252e-02       2.011789423499e+04 
       3.186060582069e-02       2.003909744286e+04 
       3.200869403678e-02       1.996013321126e+04 
       3.215724568654e-02       1.988119987745e+04 
       3.230627290721e-02       1.980207763474e+04 
       3.245578822215e-02       1.972289470481e+04 
       3.260580455636e-02       1.964381955322e+04 
       3.275633525262e-02       1.956460889403e+04 
       3.290739408851e-02       1.948541240018e+04 
       3.305899529437e-02       1.940601083629e+04 
