# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 4500, i.e. number of multipoles equal to 4499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  118       4.585799811668e-10       1.473420201346e-13      -4.888166346434e-12       0.000000000000e+00       6.792283464383e-12       1.021060488968e-12      -6.386467661830e-15 
  119       4.633997538235e-10       1.488713395649e-13      -4.974724919539e-12       0.000000000000e+00       6.638666680252e-12       1.003223028566e-12      -6.314223695578e-15 
  120       4.682364911792e-10       1.503463209580e-13      -5.060085026019e-12       0.000000000000e+00       6.489650354154e-12       9.858353703809e-13      -6.240962882345e-15 
  121       4.730888020138e-10       1.517653183616e-13      -5.144166156338e-12       0.000000000000e+00       6.344904600602e-12       9.688588544314e-13      -6.166689872985e-15 
  122       4.779551589498e-10       1.531267099719e-13      -5.226887381618e-12       0.000000000000e+00       6.204053784925e-12       9.522495575044e-13      -6.091404374344e-15 
  123       4.828340879960e-10       1.544289513524e-13      -5.308168464896e-12       0.000000000000e+00       6.066757661715e-12       9.359685566130e-13      -6.015131989805e-15 
  124       4.877247696154e-10       1.556707394158e-13      -5.387933284896e-12       0.000000000000e+00       5.932967798601e-12       9.200143377821e-13      -5.938021117842e-15 
  125       4.926265001480e-10       1.568508696668e-13      -5.466106855675e-12       0.000000000000e+00       5.802698577071e-12       9.043938771075e-13      -5.860256914116e-15 
  126       4.975385026892e-10       1.579681875015e-13      -5.542614309994e-12       0.000000000000e+00       5.675947041228e-12       8.891125270759e-13      -5.782031348386e-15 
  127       5.024599249575e-10       1.590215898362e-13      -5.617380933465e-12       0.000000000000e+00       5.552692393246e-12       8.741739653491e-13      -5.703543277080e-15 
  128       5.073898371628e-10       1.600100267358e-13      -5.690332198701e-12       0.000000000000e+00       5.432895488820e-12       8.595801435481e-13      -5.624998515853e-15 
  129       5.123272298738e-10       1.609325030428e-13      -5.761393799462e-12       0.000000000000e+00       5.316498332627e-12       8.453312360370e-13      -5.546609912161e-15 
  130       5.172710118864e-10       1.617880800053e-13      -5.830491684799e-12       0.000000000000e+00       5.203423573774e-12       8.314255887074e-13      -5.468597417823e-15 
  131       5.222200080910e-10       1.625758769059e-13      -5.897552093203e-12       0.000000000000e+00       5.093574001255e-12       8.178596677624e-13      -5.391188161585e-15 
  132       5.271729573408e-10       1.632950726901e-13      -5.962501586752e-12       0.000000000000e+00       4.986832039406e-12       8.046280085006e-13      -5.314616521692e-15 
  133       5.321285103194e-10       1.639449075951e-13      -6.025267085257e-12       0.000000000000e+00       4.883059243359e-12       7.917231641004e-13      -5.239124198448e-15 
  134       5.370852274089e-10       1.645246847781e-13      -6.085775900410e-12       0.000000000000e+00       4.782095794492e-12       7.791356544039e-13      -5.164960286784e-15 
  135       5.420415765576e-10       1.650337719452e-13      -6.143955769931e-12       0.000000000000e+00       4.683759995891e-12       7.668539147010e-13      -5.092381348825e-15 
  136       5.469959311480e-10       1.654716029795e-13      -6.199734891710e-12       0.000000000000e+00       4.587847767799e-12       7.548642445139e-13      -5.021651486456e-15 
  137       5.519467116304e-10       1.658377129656e-13      -6.253042748763e-12       0.000000000000e+00       4.494175987876e-12       7.431535505448e-13      -4.952977593252e-15 
  138       5.568928314782e-10       1.661318439051e-13      -6.303812608121e-12       0.000000000000e+00       4.402718641634e-12       7.317180042786e-13      -4.886307394850e-15 
  139       5.618332935520e-10       1.663538530789e-13      -6.351979346472e-12       0.000000000000e+00       4.313483869687e-12       7.205551873253e-13      -4.821510550263e-15 
  140       5.667670492661e-10       1.665036824569e-13      -6.397478721358e-12       0.000000000000e+00       4.226471162916e-12       7.096613444695e-13      -4.758441261644e-15 
  141       5.716929973688e-10       1.665813605385e-13      -6.440247410345e-12       0.000000000000e+00       4.141671136213e-12       6.990313501899e-13      -4.696937935430e-15 
  142       5.766099827228e-10       1.665870041931e-13      -6.480223050188e-12       0.000000000000e+00       4.059065302230e-12       6.886586751785e-13      -4.636822843473e-15 
  143       5.815167950855e-10       1.665208205006e-13      -6.517344275997e-12       0.000000000000e+00       3.978625845122e-12       6.785353528594e-13      -4.577901784180e-15 
